Type,Country Code,Series Code,Description
Country-Series,Uganda (UGA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Ukraine (UKR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : State Statistics Committee of Ukraine
Country-Series,Uruguay (URY),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,United States (USA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : National Center for Health Statistics
Country-Series,Uzbekistan (UZB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : TransMONEE, United Nations World Population Prospects"
Country-Series,St. Vincent and the Grenadines (VCT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Venezuela, RB (VEN)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Virgin Islands (U.S.) (VIR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : U.S. Census Bureau, United Nations World Population Prospects"
Country-Series,Vietnam (VNM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Vanuatu (VUT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,West Bank and Gaza (WBG),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including East Jerusalem.
Country-Series,West Bank and Gaza (WBG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources and note : United Nations World Population Prospects (for State of Palestine)
Country-Series,Samoa (WSM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Yemen, Rep. (YEM)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,South Africa (ZAF),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Congo, Dem. Rep. (ZAR)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Zambia (ZMB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Zimbabwe (ZWE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
